Age \ Année;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
82;167417;168705;172976;167447;180059;178971;180387;119391;96655;103367;116415;134202;220221;219960;216487;218461;217777;222842;223238;221877;224544;224177;235995;232728;235403;224966;231248;223630;225205;219891;219560;222922
83;149405;156837;158524;162356;157964;169658;168673;170527;112694;91272;98010;110498;126881;208860;210002;207097;207045;207870;212593;212595;211765;213941;214552;226425;223132;226132;217063;222576;215398;217005;212217;211947
84;137027;138547;145738;147354;151664;147479;158410;157859;159728;105376;85687;92341;103932;118963;198107;198918;195572;195672;196841;200995;201537;200632;202908;204298;216145;212561;216363;207496;212997;206227;206868;204065
85;121622;125728;127466;134018;136166;139978;136328;146608;146125;148374;97763;79782;86194;96666;111369;186015;186739;183013;183980;184510;189717;189711;188898;192369;192774;204796;202685;205537;197252;202703;195932;197233
86;107693;110254;114417;115677;122345;124367;127977;124952;134355;133930;136531;90082;73640;79631;90004;103028;172770;172877;170595;170900;172093;176959;176578;176556;180833;180450;193412;190832;193912;186398;190351;185718
87;93362;96337;99164;102557;104598;110235;112394;115913;113169;121650;121695;124378;82031;66806;73402;82625;94663;158533;159125;157118;158082;158558;163094;163919;163640;167796;169201;180390;178145;181628;173354;179233
88;81448;82460;85307;87690;91462;92966;98068;100130;103531;100939;108887;109578;112074;73405;60906;66771;75052;85758;143667;144167;143512;144360;144606;149730;150214;150035;155876;155778;166823;164968;167452;161003
89;68572;70789;71792;74149;76960;79982;81435;86111;87912;91045;89025;96362;96971;98826;65697;54562;59717;67330;76845;128515;129588;129129;129980;130345;135378;135763;137632;141793;142007;152444;149591;154087
90;52506;58499;60925;61670;64088;66464;68897;70279;74664;75784;79133;77589;83755;83734;87455;57588;48051;52814;59181;67615;114213;114565;114508;115186;116742;120018;123506;123304;127709;128482;136535;134920
91;41044;44080;49222;51118;52392;54271;56089;58511;59636;63284;64597;67532;66159;70832;72626;75634;49962;41607;45917;51238;58602;99094;99670;100099;101385;102004;107111;109173;109293;113470;111783;120798
92;31210;33545;36428;40603;42606;43634;44926;46667;48664;49356;52600;53955;56409;54774;60397;61618;63963;42778;35595;39275;43973;50171;84286;85240;86599;86955;89996;92986;95341;95551;97331;97050
93;24017;25000;27021;29363;33144;34620;35641;36566;38020;39540;40281;42747;44177;45683;45578;50052;51471;53605;35545;29910;32990;36765;41955;70971;72559;73117;75313;76883;79818;82108;80030;82120
94;18095;18803;19637;21242;23394;26496;27529;28463;29046;30142;31362;32118;34002;34753;37244;36752;40713;41935;43871;29103;24665;27232;29530;34421;58747;59776;62104;62787;64741;67040;66787;66331
95;12609;13883;14320;15102;16546;18153;20624;21416;22212;22455;23298;24554;24980;26104;27514;29593;29336;32528;33500;35118;23246;19826;21632;23590;28047;46726;50027;50735;51579;53442;53104;53641
96;8904;9461;10471;10649;11373;12390;13811;15708;16259;16894;16977;17654;18608;18554;20193;20938;22802;23019;25192;25939;27653;18208;15281;16794;18750;21754;38067;39896;40806;41649;40894;41304
97;6250;6468;6963;7665;7791;8321;9041;10270;11735;11974;12616;12514;12950;13340;13859;14853;15699;17532;17433;18990;19621;21100;13577;11437;12845;14156;17416;29374;30949;32000;31021;30837
98;3725;4470;4699;5007;5606;5423;5900;6488;7450;8466;8672;9134;9007;8998;9755;9791;10985;11464;12873;12915;14096;14633;15522;9958;8416;9354;11083;13139;22117;23516;22952;22751
99;2566;2488;3132;3300;3640;3951;3594;4086;4517;5267;6013;6080;6381;6109;6369;6699;6945;7881;8084;9163;9411;10233;10392;11092;7217;5912;7154;8052;9726;16396;16426;15995
100;3418;3788;3874;4365;4905;5523;6232;6371;6796;7181;8128;9323;10077;10433;11079;11241;11983;12800;13572;14421;15660;17051;17848;18751;20345;17596;16345;16000;16504;18309;23156;26184
