Age \ Année;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
75;105730;84956;90602;102636;118998;195084;192100;185860;185537;185558;190086;192281;192710;196428;198252;208173;205928;210154;201705;208168;202609;205592;203833;206656;208465;197656;188914;210644;224176;228151;228713;302432
76;146778;100095;80637;86098;97629;113657;185631;183534;177459;177472;177480;182135;184451;184480;189022;190954;200649;197810;202842;194309;200873;196306;199612;197667;200782;202632;191841;183603;204733;218015;220666;222831
77;140736;138663;94580;76177;81574;92372;108069;176113;174519;168753;168995;169150;173880;175976;176371;181109;182649;192964;190254;195240;187197;192909;189185;192740;191115;194127;195530;185385;177575;198121;210217;213124
78;132190;132208;130488;89008;71941;76968;87147;102473;166350;165065;159970;160398;160446;165186;167831;168110;172528;173904;185026;182394;187113;179320;185618;182178;185949;184478;186459;188567;178749;171413;189855;202826
79;113954;123174;123470;122079;83267;67209;72108;81582;96528;156454;155476;151031;151576;151324;156621;159055;159726;163761;165649;175860;174305;178373;171393;178357;174525;178449;177091;178962;181100;171850;163831;182808
80;108184;105097;114156;114373;113673;77309;62348;67129;75960;89777;146544;145529;141591;142181;142263;147581;149952;151137;154796;156820;166681;165413;169632;163508;170196;165784;170971;169250;171174;173240;164274;156916
81;95580;99089;96627;104820;105583;105057;71215;57623;61984;70394;83035;136396;135333;131777;133121;132971;138832;139950;141761;145559;147648;156922;157059;160493;155332;161334;157573;162785;161178;163237;164398;157233
82;85956;86734;90161;87843;95765;96601;96178;65127;52758;56928;64624;76068;126124;124683;122388;123448;123467;129180;130380;131950;135619;138278;146609;147612;150873;146628;152739;148868;154191;152718;154409;156663
83;72625;77052;78099;81133;79511;86747;87499;87529;59006;47950;51698;58806;69272;115286;114744;112505;113386;114263;119275;120575;122678;126424;128448;136434;137910;140581;137562;142933;139535;145045;143091;145422
84;63358;64313;68573;69518;72624;71258;77767;78742;78801;52838;43204;46605;53035;62311;105210;104433;102887;103106;104681;109058;110476;112703;116332;118609;126457;127238;130849;127697;132919;130057;134285;133873
85;53844;55516;56443;60093;61366;64196;62980;69062;69816;69898;46968;38580;41614;47198;55875;94910;94176;92894;93028;94778;99273;100824;102448;106290;108324;115688;117096;120190;117700;122635;118873;124776
86;44193;46570;48126;48717;52228;53299;56006;55220;60346;61200;61316;41277;34122;36601;42006;49292;84322;83875;82995;83006;84884;88941;90544;92298;96105;97855;105275;106463;109232;107243;110690;109135
87;36490;37659;39895;41085;41945;44939;45775;48363;47780;51872;53118;53167;35669;29719;32042;36772;42997;74008;73908;73047;74100;75763;79017;80525;83034;85602;87686;94540;95918;98622;95657;99363
88;30210;30466;31713;33453;34636;35326;37873;38872;40909;40417;44238;45317;45424;30252;25687;27535;31486;37320;64032;64245;63865;64932;66065;69451;70775;72839;75628;77215;83889;85287;86403;85127
89;23366;24761;25080;26185;27708;28681;29262;31346;32306;33978;33759;37115;38141;37928;25542;21791;23414;26909;31785;54980;54898;54694;55670;57157;60378;60888;63399;65694;67036;73609;72755;75448
90;16858;18896;20110;20320;21425;22618;23409;23890;25656;26286;27890;27774;30532;31114;31530;21217;18159;19675;22592;26735;46154;46691;46374;47482;49027;50971;52219;54087;56020;57533;61563;62561
91;12422;13331;15082;16028;16281;17155;18028;18629;19206;20388;20993;22377;22385;24339;25474;25461;17133;14680;15923;18651;21953;38072;38564;38400;39496;40619;43138;43508;45333;47092;46929;51824
92;8661;9527;10375;11608;12604;12724;13441;14033;14518;14956;15922;16431;17527;17479;19477;20300;20524;13600;11718;13054;15159;18108;30499;31010;31287;31906;33402;35240;35315;36852;37496;38419
93;6091;6488;7135;7969;8903;9580;9619;10355;10804;11064;11445;12284;12468;13377;13640;15125;15647;16152;10853;9263;10337;12047;14300;24096;24936;24635;25834;26779;28293;28358;28807;29395
94;4158;4525;4731;5084;5992;6670;7105;7178;7795;8074;8293;8527;9124;9207;10264;10274;11281;11921;12434;8242;7043;7800;9160;11102;18820;19231;19385;20194;21226;22290;21463;22206
95;2325;2955;3276;3343;3597;4431;4923;5146;5285;5697;5947;6208;6308;6577;6826;7550;7484;8250;8644;9419;6316;5291;5762;6744;8471;14093;14918;14615;15393;16359;16299;16016
96;1661;1613;2084;2264;2376;2493;3179;3615;3688;3729;4103;4256;4495;4384;4697;4805;5338;5372;5960;6339;6832;4603;3818;4203;5062;6208;10512;11005;10836;11552;11542;11798
97;1099;1148;1100;1467;1549;1566;1639;2239;2684;2588;2576;2863;2956;3132;3066;3187;3366;3716;3820;4201;4400;4835;3291;2702;3052;3565;4365;7500;7891;7728;7785;7790
98;622;742;785;718;1007;994;1049;1082;1613;1844;1754;1707;1922;1944;2191;1949;2178;2246;2513;2598;2908;3161;3262;2239;1847;2050;2477;3022;5247;5514;4902;5195
99;490;410;504;509;476;662;608;682;716;1117;1262;1169;1151;1218;1344;1490;1258;1430;1482;1669;1816;1978;2043;2248;1556;1253;1406;1688;2042;3639;3485;3139
100;467;591;584;649;743;780;875;888;958;980;1316;1708;1868;1960;2103;2334;2443;2140;2238;2267;2561;2846;3039;3280;3740;3448;3038;3040;3245;3551;4341;4853
