Age;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
53;5666;5698;5534;5073;5756;5819;5798;5467;6448;5298;5245;5268;5214;4893;5000;4930;4942;4798;4789;4781;4409;4555;4141;3951;3955;3921;3919;3811;3780;3690;3871;0
54;6378;6271;6116;6003;5200;6268;5992;6128;6115;6337;5603;5562;5537;5332;5240;5240;5111;5097;5176;5032;4965;4817;4798;4558;4507;4240;4223;4174;3940;4071;4117;0
55;6821;6590;6756;6564;6107;5771;6639;6538;6743;6229;6890;6101;5968;5570;5599;5414;5644;5552;5637;5411;5446;5350;5033;4948;4916;4669;4557;4596;4457;4409;4467;0
56;7106;7202;7160;7161;6711;6772;6253;6982;7260;6610;6345;7410;6564;5802;5943;6019;5646;6035;5933;5982;5655;5669;5497;5300;5379;5224;5101;5059;4876;4886;4897;0
57;7852;7688;7797;7359;7475;7378;6886;7036;7996;7145;6986;6753;7842;6550;6532;6414;6464;6000;6536;6190;5978;6138;6058;5672;5839;5837;5488;5464;5079;5563;5282;0
58;8599;8557;8279;8105;7724;8036;7880;7658;7163;7418;7505;7302;7120;7912;7087;6592;6699;6662;6583;6658;6394;6587;6362;6136;6183;6149;6107;5873;5733;5829;5899;0
59;9467;8856;9104;8598;8524;8658;8357;8486;8371;7278;8273;8042;7927;7626;8599;7311;7052;6877;7135;6754;6984;6880;6985;6645;6740;6660;6583;6527;6300;6391;6220;0
60;10312;9935;9852;9536;9271;9430;8828;9367;9483;8339;7710;8678;8483;8025;7971;8882;7895;7484;7382;7602;7156;7588;7277;7122;7233;7312;7147;6900;6952;6993;6868;0
61;11252;10774;10691;10008;10282;10070;9770;9606;10013;8720;8885;8088;8917;8596;8346;8076;9141;8442;7937;7917;7744;7741;8062;7663;7703;7761;7822;7539;7502;7570;7603;0
62;11907;11677;11425;11079;10725;11109;10485;10719;10483;9999;9601;9165;9072;9591;9260;8905;8753;9931;8589;8342;8138;8382;8148;8332;8116;8383;8339;8197;7929;8324;8262;0
63;12952;12296;12658;12144;11970;11633;11682;11205;11773;10276;10152;9986;9881;8914;10095;9738;9545;9194;10503;9121;8662;8856;8818;8469;8886;8851;8829;8778;8694;8884;9143;0
64;13613;13604;13435;13209;12826;12711;12277;12775;12273;11433;11073;10781;10779;10059;9411;10741;10146;10032;9608;10993;9560;9392;9285;9282;9051;9364;9140;9364;9093;9552;9645;0
65;14277;14314;14399;13888;14361;14246;13551;13250;13764;12094;11995;11603;11783;10921;10774;9806;11117;10811;10587;10352;11546;10422;10109;9651;9986;9761;10029;9675;9959;10234;10477;0
66;15910;15544;15337;15422;15305;15194;14539;14731;14564;13773;12956;12836;12272;11728;11813;11077;10380;11950;11532;11138;10380;11823;10809;10319;10490;10598;10411;10640;10363;11054;11488;0
67;16919;16935;16512;16267;16476;16331;16478;16236;16497;14148;14349;13814;13681;12237;12658;12198;11735;10842;12388;12211;11523;11785;12913;11103;11067;11026;11266;10909;11238;11465;11978;0
68;18173;18099;18400;17629;17726;18161;17110;17245;18110;16205;15147;15226;14528;13889;13525;13490;13364;12632;11841;13334;12469;12581;12334;13996;12329;11720;11801;12315;11530;12899;12747;0
69;19564;18792;19287;19444;18978;19164;19206;18946;19674;17611;17035;16273;16632;14635;14948;14013;14040;13844;13328;12430;13611;13736;13611;12923;14759;13184;12965;12718;12875;13123;13818;0
70;21356;21174;21177;20242;20726;20805;20659;21134;21222;19341;18226;18292;17336;16646;15872;15363;15237;14948;14644;14138;13047;15399;14688;14042;14178;16231;14287;13562;13683;14788;14673;0
71;33223;22509;22434;22009;21837;22992;22034;22900;23929;20733;20884;19599;19634;17589;18482;16859;16446;16374;15718;15628;14888;14295;16135;15203;15484;15052;17040;15179;14915;15537;15952;0
